[Train] Iter 700/5000 | Time: 11.93s | Batch_OA: 96.63 | Batch_mIoU: 49.15 | CE_loss: 0.387
[Train] Iter 710/5000 | Time: 12.04s | Batch_OA: 97.41 | Batch_mIoU: 49.36 | CE_loss: 0.294
[Train] Iter 720/5000 | Time: 11.56s | Batch_OA: 98.54 | Batch_mIoU: 49.27 | CE_loss: 0.279
[Train] Iter 730/5000 | Time: 12.04s | Batch_OA: 97.52 | Batch_mIoU: 49.02 | CE_loss: 0.294
[Train] Iter 740/5000 | Time: 12.01s | Batch_OA: 97.34 | Batch_mIoU: 49.01 | CE_loss: 0.306
[Train] Iter 750/5000 | Time: 11.97s | Batch_OA: 97.16 | Batch_mIoU: 49.19 | CE_loss: 0.333
[Train] Iter 760/5000 | Time: 12.87s | Batch_OA: 98.24 | Batch_mIoU: 49.93 | CE_loss: 0.244
[Train] Iter 770/5000 | Time: 11.55s | Batch_OA: 98.29 | Batch_mIoU: 49.76 | CE_loss: 0.256
[Train] Iter 780/5000 | Time: 12.62s | Batch_OA: 99.03 | Batch_mIoU: 50.09 | CE_loss: 0.196
[Train] Iter 790/5000 | Time: 12.15s | Batch_OA: 96.23 | Batch_mIoU: 48.84 | CE_loss: 0.352
[Train] Iter 800/5000 | Time: 11.43s | Batch_OA: 95.04 | Batch_mIoU: 48.30 | CE_loss: 0.374
[Train] Iter 810/5000 | Time: 12.64s | Batch_OA: 97.58 | Batch_mIoU: 49.09 | CE_loss: 0.246
[Train] Iter 820/5000 | Time: 11.94s | Batch_OA: 96.54 | Batch_mIoU: 49.05 | CE_loss: 0.361
[Train] Iter 830/5000 | Time: 11.49s | Batch_OA: 98.45 | Batch_mIoU: 49.65 | CE_loss: 0.199
[Train] Iter 840/5000 | Time: 12.56s | Batch_OA: 98.37 | Batch_mIoU: 49.57 | CE_loss: 0.212
[Train] Iter 850/5000 | Time: 12.19s | Batch_OA: 97.72 | Batch_mIoU: 49.46 | CE_loss: 0.308
[Train] Iter 860/5000 | Time: 12.54s | Batch_OA: 97.92 | Batch_mIoU: 50.24 | CE_loss: 0.213
[Train] Iter 870/5000 | Time: 12.66s | Batch_OA: 96.93 | Batch_mIoU: 49.73 | CE_loss: 0.305
[Train] Iter 880/5000 | Time: 12.78s | Batch_OA: 95.77 | Batch_mIoU: 48.21 | CE_loss: 0.445
[Train] Iter 890/5000 | Time: 12.03s | Batch_OA: 92.57 | Batch_mIoU: 47.59 | CE_loss: 0.319
[Train] Iter 900/5000 | Time: 12.03s | Batch_OA: 98.26 | Batch_mIoU: 49.56 | CE_loss: 0.275
[Train] Iter 910/5000 | Time: 12.07s | Batch_OA: 96.63 | Batch_mIoU: 49.03 | CE_loss: 0.369
[Train] Iter 920/5000 | Time: 12.52s | Batch_OA: 84.00 | Batch_mIoU: 42.50 | CE_loss: 0.547
[Train] Iter 930/5000 | Time: 12.61s | Batch_OA: 90.64 | Batch_mIoU: 45.83 | CE_loss: 0.284
[Train] Iter 940/5000 | Time: 12.79s | Batch_OA: 96.98 | Batch_mIoU: 48.54 | CE_loss: 0.388
[Train] Iter 950/5000 | Time: 12.68s | Batch_OA: 96.40 | Batch_mIoU: 48.40 | CE_loss: 0.356
[Train] Iter 960/5000 | Time: 12.72s | Batch_OA: 95.96 | Batch_mIoU: 48.33 | CE_loss: 0.225
[Train] Iter 970/5000 | Time: 12.41s | Batch_OA: 96.91 | Batch_mIoU: 49.29 | CE_loss: 0.359
